n,Avg_Time(s),FLOPs
173,0.0220385,4.72595e+08
174,0.022438,4.72262e+08
175,0.0227302,4.7426e+08
176,0.0231503,4.73665e+08
177,0.0236031,4.72528e+08
178,0.0239581,4.73447e+08
179,0.0242596,4.75473e+08
180,0.0248361,4.72249e+08
181,0.0252311,4.72631e+08
182,0.0255552,4.74401e+08
183,0.0260847,4.72458e+08
184,0.0265044,4.72628e+08
185,0.026834,4.74462e+08
186,0.027314,4.7371e+08
187,0.0278209,4.72607e+08
188,0.0282207,4.73413e+08
189,0.0285692,4.75126e+08
190,0.0292208,4.7193e+08
191,0.0296056,4.73177e+08
192,0.0300646,4.73298e+08
193,0.0310381,4.65641e+08
194,0.0315265,4.65578e+08
195,0.0332358,4.48486e+08
196,0.033301,4.54517e+08
197,0.0341324,4.50257e+08
198,0.0347051,4.49594e+08
199,0.0348183,4.54944e+08
200,0.0351918,4.56924e+08
201,0.0357874,4.56083e+08
202,0.0370702,4.46893e+08
203,0.0378916,4.43721e+08
204,0.0381342,4.47434e+08
205,0.0383538,4.51436e+08
206,0.0390877,4.49463e+08
207,0.0392771,4.53832e+08
208,0.0395647,4.57083e+08
209,0.0407056,4.507e+08
210,0.0416927,4.46366e+08
211,0.0422554,4.46734e+08
212,0.0424973,4.50527e+08
213,0.0429719,4.51875e+08
214,0.0421329,4.67385e+08
215,0.0426531,4.68177e+08
216,0.0447096,4.52894e+08
217,0.0460585,4.45755e+08
218,0.0460235,4.5228e+08
219,0.0467135,4.5175e+08
220,0.048365,4.42319e+08
221,0.0474785,4.56741e+08
222,0.0488933,4.49564e+08
223,0.0499246,4.46245e+08
224,0.0499048,4.52445e+08
225,0.0511055,4.4775e+08
226,0.0512441,4.5251e+08
227,0.052228,4.49897e+08
228,0.052141,4.56621e+08
229,0.0543872,4.43539e+08
230,0.054437,4.48955e+08
231,0.0557327,4.44254e+08
232,0.055272,4.53792e+08
233,0.0562187,4.51936e+08
234,0.0583105,4.4135e+08
235,0.0578898,4.50273e+08
236,0.0598494,4.41106e+08
237,0.0580173,4.60835e+08
238,0.0598113,4.52688e+08
239,0.0602908,4.54764e+08
240,0.0627501,4.42441e+08
241,0.0626655,4.48591e+08
242,0.0637325,4.46587e+08
243,0.0635888,4.5316e+08
244,0.0660327,4.41791e+08
245,0.0650498,4.53995e+08
246,0.065989,4.53029e+08
247,0.0667711,4.53197e+08
248,0.0693156,4.41878e+08
249,0.0690058,4.49245e+08
250,0.0709106,4.42459e+08
251,0.0697965,4.5493e+08
252,0.0727084,4.41944e+08
253,0.0715039,4.54752e+08
254,0.0724531,4.5413e+08
255,0.074226,4.48533e+08
256,0.0745918,4.51598e+08
257,0.0735111,4.63621e+08
258,0.0743261,4.63904e+08
259,0.0754918,4.62065e+08
260,0.0762285,4.62914e+08
261,0.0773737,4.61338e+08
262,0.0784112,4.6048e+08
263,0.0790316,4.62109e+08
264,0.0799414,4.62075e+08
265,0.0810404,4.61001e+08
266,0.0820243,4.60641e+08
267,0.0828316,4.61308e+08
268,0.0839098,4.6051e+08
269,0.084981,4.59808e+08
270,0.0857162,4.60961e+08
271,0.0868482,4.6002e+08
272,0.0879816,4.59133e+08
273,0.0889293,4.59262e+08
274,0.0897997,4.59821e+08
275,0.0909297,4.59091e+08
276,0.0919392,4.59015e+08
277,0.0929227,4.59105e+08
278,0.0939911,4.58814e+08
279,0.0952125,4.57828e+08
280,0.096072,4.58623e+08
281,0.0971536,4.58388e+08
282,0.0984027,4.57412e+08
283,0.0994011,4.57646e+08
284,0.100494,4.57477e+08
285,0.101682,4.56922e+08
286,0.102862,4.56446e+08
287,0.103775,4.57188e+08
288,0.104931,4.56887e+08
289,0.106307,4.55683e+08
290,0.107066,4.5716e+08
291,0.108405,4.56193e+08
292,0.109471,4.5642e+08
293,0.110417,4.57167e+08
294,0.11156,4.5713e+08
295,0.113002,4.55909e+08
296,0.113976,4.5662e+08
297,0.11493,4.5743e+08
298,0.116189,4.57054e+08
299,0.117504,4.565e+08
300,0.118446,4.57423e+08
301,0.11975,4.56977e+08
302,0.122458,4.51335e+08
303,0.122081,4.57236e+08
304,0.123292,4.57237e+08
305,0.12456,4.57058e+08
306,0.125834,4.56892e+08
307,0.126948,4.57333e+08
308,0.128282,4.57008e+08
309,0.129644,4.56621e+08
310,0.130689,4.57379e+08
311,0.132,4.57228e+08
312,0.133525,4.56374e+08
313,0.134557,4.57238e+08
314,0.135837,4.57279e+08
315,0.137166,4.57184e+08
316,0.138507,4.57078e+08
317,0.139699,4.57492e+08
318,0.141072,4.57336e+08
319,0.142551,4.56867e+08
320,0.143734,4.57377e+08
321,0.144689,4.58628e+08
322,0.146204,4.58126e+08
323,0.147351,4.58802e+08
324,0.148804,4.58551e+08
325,0.150226,4.58427e+08
326,0.151689,4.58203e+08
327,0.153178,4.57933e+08
328,0.154408,4.58462e+08
329,0.155875,4.58311e+08
330,0.157078,4.58957e+08
331,0.158569,4.58781e+08
332,0.160245,4.58105e+08
333,0.161427,4.5887e+08
334,0.16287,4.58909e+08
335,0.164446,4.586e+08
336,0.165999,4.58388e+08
337,0.167261,4.58998e+08
338,0.169943,4.55784e+08
339,0.170717,4.57753e+08
340,0.172069,4.58184e+08
341,0.173367,4.58774e+08
342,0.175088,4.58267e+08
343,0.176274,4.59187e+08
344,0.177845,4.59118e+08
345,0.179569,4.58683e+08
346,0.181144,4.58656e+08
347,0.182514,4.59167e+08
348,0.184209,4.58884e+08
349,0.185994,4.58405e+08
350,0.187726,4.58088e+08
351,0.189111,4.58638e+08
352,0.191114,4.57717e+08
353,0.19269,4.57851e+08
354,0.194076,4.5845e+08
355,0.195947,4.57929e+08
356,0.197572,4.58008e+08
357,0.19879,4.59045e+08
358,0.200613,4.58703e+08
359,0.202382,4.5851e+08
360,0.203749,4.59248e+08
361,0.205524,4.59083e+08
362,0.207588,4.58302e+08
363,0.209011,4.58961e+08
364,0.210955,4.58496e+08
365,0.212541,4.58833e+08
366,0.214366,4.58671e+08
367,0.215837,4.59287e+08
368,0.217934,4.58593e+08
369,0.221159,4.55597e+08
370,0.221184,4.59255e+08
371,0.22318,4.58844e+08
372,0.234146,4.40897e+08
373,0.227093,4.58264e+08
374,0.22863,4.58851e+08
375,0.230397,4.58991e+08
376,0.232463,4.58558e+08
377,0.23398,4.59226e+08
378,0.235938,4.59044e+08
379,0.23808,4.58532e+08
380,0.239529,4.59371e+08
381,0.241507,4.59212e+08
382,0.24437,4.57412e+08
383,0.245283,4.59295e+08
384,0.249293,4.55453e+08
385,0.250059,4.57611e+08
386,0.251984,4.57659e+08
387,0.254183,4.57233e+08
388,0.257287,4.55223e+08
389,0.258153,4.57212e+08
390,0.260265,4.57004e+08
391,0.261841,4.57754e+08
392,0.264251,4.57065e+08
393,0.266885,4.56023e+08
394,0.268193,4.57269e+08
395,0.270526,4.56784e+08
396,0.272102,4.57593e+08
397,0.274039,4.57806e+08
398,0.276737,4.56774e+08
399,0.27843,4.57425e+08
400,0.280293,4.57807e+08
401,0.282722,4.57284e+08
402,0.285074,4.56909e+08
403,0.286826,4.57512e+08
404,0.288676,4.5797e+08
405,0.291599,4.56752e+08
406,0.293316,4.57447e+08
407,0.295204,4.57886e+08
408,0.297485,4.57729e+08
409,0.299734,4.57641e+08
410,0.30162,4.5812e+08
411,0.303983,4.57891e+08
412,0.306528,4.57408e+08
413,0.308402,4.57945e+08
414,0.310695,4.57873e+08
415,0.312834,4.58043e+08
416,0.315557,4.57378e+08
417,0.317342,4.5809e+08
418,0.319734,4.57939e+08
419,0.322601,4.57132e+08
420,0.324173,4.58178e+08
421,0.326688,4.57903e+08
422,0.329604,4.57092e+08
423,0.331276,4.58023e+08
424,0.333618,4.58038e+08
425,0.337861,4.55491e+08
426,0.338675,4.57609e+08
427,0.340614,4.58212e+08
428,0.3449,4.55702e+08
429,0.346871,4.56294e+08
430,0.347851,4.58196e+08
431,0.350459,4.57963e+08
432,0.353548,4.57128e+08
433,0.355458,4.57833e+08
434,0.357865,4.5791e+08
435,0.360569,4.57622e+08
436,0.363167,4.57487e+08
437,0.365653,4.57508e+08
438,0.371363,4.5357e+08
439,0.371329,4.56723e+08
440,0.374137,4.56397e+08
