n,Avg_Time(s),FLOPs
184,0.000129055,5.27526e+08
185,0.000130264,5.28313e+08
186,0.000127472,5.4572e+08
187,0.000128959,5.45229e+08
188,0.000131667,5.39725e+08
189,0.000132028,5.43977e+08
190,0.000133458,5.4384e+08
191,0.0001335,5.49393e+08
192,0.000135028,5.48864e+08
193,0.000138292,5.41492e+08
194,0.000146278,5.17235e+08
195,0.000136167,5.61371e+08
196,0.000137111,5.63224e+08
197,0.000138514,5.63207e+08
198,0.000140097,5.62495e+08
199,0.000144153,5.52191e+08
200,0.00014275,5.63224e+08
201,0.000144444,5.62182e+08
202,0.000145556,5.63441e+08
203,0.000153527,5.39474e+08
204,0.000155181,5.38984e+08
205,0.000150361,5.61716e+08
206,0.000151806,5.61796e+08
207,0.000155444,5.53973e+08
208,0.000154708,5.61988e+08
209,0.000155958,5.62843e+08
210,0.000157292,5.63412e+08
211,0.000160334,5.57986e+08
212,0.000160347,5.63227e+08
213,0.000161819,5.63369e+08
214,0.000163473,5.62908e+08
215,0.000168653,5.50717e+08
216,0.000166819,5.61949e+08
217,0.000168014,5.63119e+08
218,0.00016925,5.6416e+08
219,0.000172264,5.59374e+08
220,0.000173847,5.59342e+08
221,0.000174195,5.63301e+08
222,0.000175805,5.63191e+08
223,0.000178598,5.5938e+08
224,0.000179028,5.63039e+08
225,0.000180167,5.64477e+08
226,0.000181097,5.66568e+08
227,0.000183208,5.64996e+08
228,0.000184305,5.66582e+08
229,0.00019882,5.29827e+08
230,0.000187278,5.67393e+08
231,0.00018932,5.66154e+08
232,0.000190861,5.66443e+08
233,0.000192306,5.67035e+08
234,0.000196278,5.60328e+08
235,0.000204931,5.41256e+08
236,0.00019982,5.59825e+08
237,0.00020168,5.5936e+08
238,0.000203681,5.58541e+08
239,0.000205708,5.57684e+08
240,0.000204736,5.65021e+08
241,0.000210014,5.55411e+08
242,0.000207139,5.67794e+08
243,0.000210611,5.63048e+08
244,0.000212223,5.63371e+08
245,0.000216166,5.57626e+08
246,0.000214945,5.65373e+08
247,0.000224458,5.45812e+08
248,0.000218584,5.65019e+08
249,0.000220514,5.64591e+08
250,0.000222653,5.63658e+08
251,0.000224306,5.6398e+08
252,0.000226153,5.63832e+08
253,0.000230583,5.57387e+08
254,0.000228208,5.67639e+08
255,0.000229888,5.67928e+08
256,0.000243431,5.40539e+08
257,0.000234764,5.64874e+08
258,0.000238278,5.60874e+08
259,0.000242819,5.54651e+08
260,0.000241278,5.62505e+08
261,0.000243167,5.62429e+08
262,0.000243097,5.66901e+08
263,0.000254541,5.45546e+08
264,0.000249347,5.61146e+08
265,0.000250611,5.62544e+08
266,0.000250972,5.65975e+08
267,0.000251847,5.6825e+08
268,0.000258083,5.58672e+08
269,0.00025682,5.6561e+08
270,0.000259027,5.6496e+08
271,0.000260292,5.6638e+08
272,0.000264542,5.61393e+08
273,0.00026332,5.68146e+08
274,0.000265389,5.67846e+08
275,0.000267639,5.67183e+08
276,0.00026993,5.66457e+08
277,0.000272639,5.64894e+08
278,0.000277569,5.58866e+08
279,0.000282208,5.53634e+08
280,0.000299167,5.25994e+08
281,0.000279361,5.67308e+08
282,0.000286834,5.56462e+08
283,0.000283764,5.66471e+08
284,0.000291403,5.5552e+08
285,0.000287319,5.67383e+08
286,0.000291472,5.63223e+08
287,0.000293167,5.63884e+08
288,0.00029375,5.66686e+08
289,0.000308306,5.43681e+08
290,0.000298458,5.65506e+08
291,0.000301195,5.64233e+08
292,0.000300875,5.68715e+08
293,0.000308333,5.58759e+08
294,0.000306055,5.6676e+08
295,0.000310139,5.63103e+08
296,0.000310514,5.66236e+08
297,0.000313389,5.64832e+08
298,0.000330805,5.38697e+08
299,0.00031568,5.68296e+08
300,0.000321209,5.62251e+08
301,0.000320319,5.67572e+08
302,0.000324014,5.64828e+08
303,0.00033307,5.5311e+08
304,0.000327958,5.65438e+08
305,0.000330056,5.65541e+08
306,0.000333445,5.63464e+08
307,0.000333166,5.6762e+08
308,0.000337111,5.64632e+08
309,0.000337514,5.67621e+08
310,0.000342222,5.63435e+08
311,0.000340361,5.70171e+08
312,0.000345431,5.65416e+08
313,0.000344694,5.70256e+08
314,0.00035025,5.64796e+08
315,0.000354612,5.61403e+08
316,0.000355167,5.64084e+08
317,0.000355403,5.67278e+08
318,0.000363611,5.57969e+08
319,0.00036025,5.66718e+08
320,0.000366597,5.60397e+08
321,0.000362792,5.69814e+08
322,0.000363917,5.71591e+08
323,0.000368292,5.6831e+08
324,0.000371125,5.67463e+08
325,0.000372445,5.68944e+08
326,0.000374514,5.69281e+08
327,0.000378555,5.6666e+08
328,0.000377653,5.71488e+08
329,0.000386014,5.62519e+08
330,0.000382514,5.71117e+08
331,0.000406486,5.40693e+08
332,0.000388361,5.69346e+08
333,0.000393945,5.64658e+08
334,0.000394791,5.66831e+08
335,0.000399472,5.63543e+08
336,0.000398986,5.67598e+08
337,0.000400111,5.69372e+08
338,0.000401389,5.70927e+08
339,0.00040407,5.70496e+08
340,0.000407028,5.69691e+08
341,0.000414167,5.63164e+08
342,0.000411,5.70832e+08
343,0.000417611,5.65081e+08
344,0.000417375,5.68698e+08
345,0.000421916,5.65847e+08
346,0.000423389,5.67148e+08
347,0.000437973,5.51432e+08
348,0.000425889,5.70346e+08
349,0.000432444,5.64928e+08
350,0.000431431,5.69501e+08
351,0.000435681,5.67167e+08
352,0.000439653,5.65246e+08
353,0.000447389,5.58628e+08
354,0.000443236,5.67057e+08
355,0.000454361,5.56298e+08
356,0.000448389,5.66883e+08
357,0.000453042,5.64213e+08
358,0.00045368,5.66575e+08
359,0.000458153,5.64179e+08
360,0.000458153,5.67322e+08
361,0.000459625,5.68646e+08
362,0.000474723,5.53612e+08
363,0.00046443,5.69007e+08
364,0.000464986,5.71458e+08
365,0.000468361,5.70457e+08
366,0.000473944,5.66826e+08
367,0.000474569,5.69173e+08
368,0.000476208,5.70305e+08
369,0.000480347,5.68464e+08
370,0.000484472,5.66678e+08
371,0.000486431,5.67448e+08
372,0.000490181,5.66142e+08
373,0.000492028,5.67049e+08
374,0.000492444,5.69608e+08
375,0.000497445,5.66897e+08
376,0.000498903,5.68254e+08
377,0.000504375,5.65079e+08
378,0.000505208,5.6714e+08
379,0.000508889,5.66018e+08
380,0.000512472,5.65026e+08
381,0.000512583,5.67877e+08
382,0.000513347,5.70008e+08
383,0.000515264,5.7086e+08
384,0.000526902,5.61167e+08
385,0.000525583,5.65505e+08
386,0.000526264,5.67707e+08
387,0.000528583,5.68145e+08
388,0.000530917,5.68571e+08
389,0.000532361,5.69952e+08
390,0.000536916,5.68021e+08
391,0.000536889,5.70963e+08
392,0.000540972,5.69553e+08
393,0.00054575,5.67447e+08
394,0.000548528,5.67446e+08
395,0.000568056,5.50721e+08
396,0.000551639,5.69981e+08
397,0.000562305,5.61994e+08
398,0.000567514,5.59641e+08
399,0.000563861,5.66097e+08
400,0.00056275,5.70057e+08
401,0.000567083,5.6853e+08
402,0.000567653,5.70793e+08
403,0.000572139,5.69135e+08
404,0.000575445,5.68673e+08
405,0.000579653,5.67339e+08
406,0.000580069,5.69732e+08
407,0.000603666,5.50158e+08
408,0.000584958,5.70543e+08
409,0.000588,5.70374e+08
410,0.000590458,5.70777e+08
411,0.0006,5.6444e+08
412,0.000596889,5.70143e+08
413,0.000597805,5.72032e+08
414,0.00060225,5.7056e+08
415,0.000620125,5.56791e+08
416,0.000630306,5.50438e+08
417,0.000612472,5.69188e+08
418,0.000620736,5.64304e+08
419,0.000622097,5.65764e+08
420,0.000629042,5.62189e+08
421,0.000625597,5.67976e+08
422,0.000625514,5.7075e+08
423,0.000629833,5.69522e+08
424,0.000633597,5.68816e+08
425,0.000640764,5.65107e+08
426,0.000640208,5.68259e+08
427,0.000650222,5.62134e+08
428,0.000644319,5.69941e+08
429,0.000649292,5.68219e+08
430,0.000655403,5.65545e+08
431,0.000659042,5.65039e+08
432,0.000656292,5.70039e+08
433,0.00067075,5.60334e+08
434,0.000678958,5.56117e+08
435,0.000667806,5.68009e+08
436,0.000680319,5.60125e+08
437,0.000674444,5.67596e+08
438,0.000676167,5.68741e+08
439,0.000679917,5.68187e+08
440,0.000682847,5.68326e+08
441,0.000682014,5.71607e+08
442,0.000683667,5.72811e+08
443,0.000709819,5.54203e+08
444,0.00070882,5.5749e+08
445,0.000702653,5.64916e+08
446,0.000703139,5.67063e+08
447,0.000706792,5.66662e+08
448,0.000708751,5.67624e+08
449,0.000717598,5.63129e+08
450,0.000719861,5.63859e+08
451,0.000721014,5.65459e+08
452,0.000719389,5.6925e+08
453,0.000723736,5.68334e+08
454,0.00072918,5.66581e+08
455,0.000729139,5.6911e+08
456,0.000732458,5.69021e+08
457,0.000733416,5.7077e+08
458,0.00073582,5.71395e+08
459,0.000739959,5.70681e+08
460,0.000759722,5.58257e+08
461,0.000775306,5.49414e+08
462,0.000781083,5.47716e+08
463,0.000759125,5.65999e+08
464,0.00077443,5.5721e+08
465,0.000774542,5.59531e+08
466,0.0007675,5.67093e+08
467,0.000781361,5.59424e+08
468,0.000788361,5.56831e+08
469,0.0007855,5.61247e+08
470,0.000785111,5.6392e+08
471,0.000791472,5.61768e+08
472,0.000792986,5.63077e+08
473,0.000791792,5.66315e+08
474,0.00082507,5.45772e+08
475,0.000795889,5.6817e+08
476,0.000802958,5.65539e+08
477,0.0008015,5.68948e+08
478,0.000831708,5.50583e+08
479,0.000840709,5.46967e+08
480,0.000814569,5.66876e+08
481,0.000826556,5.60983e+08
482,0.000820055,5.67781e+08
483,0.000841458,5.55635e+08
484,0.000861472,5.44974e+08
485,0.000829847,5.6808e+08
486,0.000831653,5.69185e+08
487,0.000855694,5.55469e+08
488,0.000845167,5.64698e+08
489,0.000846639,5.66026e+08
490,0.000862389,5.57962e+08
491,0.000856625,5.64009e+08
492,0.000874945,5.54449e+08
493,0.000856736,5.68534e+08
494,0.000855292,5.71805e+08
495,0.000859264,5.71466e+08
496,0.000868514,5.67664e+08
497,0.000890639,5.55794e+08
498,0.000882653,5.6308e+08
499,0.000875403,5.70023e+08
500,0.000881209,5.68537e+08
501,0.000888195,5.66322e+08
502,0.000883209,5.71792e+08
503,0.000888736,5.705e+08
504,0.000913125,5.5747e+08
505,0.000894264,5.71487e+08
506,0.000901486,5.69154e+08
507,0.00090725,5.67773e+08
508,0.000905958,5.70826e+08
509,0.000905139,5.73591e+08
510,0.000917417,5.68139e+08
511,0.000944639,5.5393e+08
512,0.000926292,5.67113e+08
