n,Avg_Time(s),FLOPs
185,6.95e-07,5.32374e+08
186,7.09e-07,5.24683e+08
187,6.95e-07,5.38129e+08
188,7.08e-07,5.31073e+08
189,6.94667e-07,5.44146e+08
190,7.08e-07,5.36723e+08
191,6.94667e-07,5.49904e+08
192,7.22e-07,5.31856e+08
193,7.09e-07,5.44429e+08
194,7.22333e-07,5.37148e+08
195,7.36333e-07,5.29651e+08
196,7.22e-07,5.42936e+08
197,7.22e-07,5.45706e+08
198,7.36e-07,5.38043e+08
199,7.5e-07,5.30667e+08
200,7.5e-07,5.33333e+08
201,7.5e-07,5.36e+08
202,8.33667e-07,4.84606e+08
203,7.5e-07,5.41333e+08
204,7.64e-07,5.34031e+08
205,7.63667e-07,5.36883e+08
206,7.77333e-07,5.30017e+08
207,7.64e-07,5.41885e+08
208,7.64e-07,5.44503e+08
209,7.91667e-07,5.28e+08
210,7.91667e-07,5.30526e+08
211,8.33333e-07,5.064e+08
212,8.61e-07,4.92451e+08
213,7.91667e-07,5.38105e+08
214,7.78e-07,5.50129e+08
215,7.91333e-07,5.43387e+08
216,8.06e-07,5.3598e+08
217,9.02333e-07,4.80975e+08
218,8.19e-07,5.32357e+08
219,8.2e-07,5.34146e+08
220,8.33e-07,5.28211e+08
221,8.89333e-07,4.97001e+08
222,8.33667e-07,5.32587e+08
223,8.19667e-07,5.44124e+08
224,8.34e-07,5.3717e+08
225,8.19667e-07,5.49004e+08
226,8.2e-07,5.5122e+08
227,8.47e-07,5.36009e+08
228,8.47667e-07,5.37947e+08
229,8.47667e-07,5.40307e+08
230,9.16667e-07,5.01818e+08
231,8.61333e-07,5.36378e+08
232,8.61e-07,5.38908e+08
233,8.61e-07,5.41231e+08
234,8.61e-07,5.43554e+08
235,8.61333e-07,5.45666e+08
236,8.75e-07,5.39429e+08
237,8.75e-07,5.41714e+08
238,9.03e-07,5.27132e+08
239,9.16667e-07,5.21455e+08
240,8.89e-07,5.39933e+08
241,8.89e-07,5.42182e+08
242,9.03e-07,5.35991e+08
243,9.86333e-07,4.92734e+08
244,9.02667e-07,5.4062e+08
245,8.89e-07,5.51181e+08
246,9.02333e-07,5.45253e+08
247,9.72e-07,5.0823e+08
248,9.16667e-07,5.41091e+08
249,9.16667e-07,5.43273e+08
250,9.30333e-07,5.37442e+08
251,9.30333e-07,5.39592e+08
252,9.99667e-07,5.04168e+08
253,9.44e-07,5.36017e+08
254,9.44333e-07,5.37946e+08
255,1.028e-06,4.96109e+08
256,9.45e-07,5.41799e+08
257,9.58e-07,5.36534e+08
258,9.58e-07,5.38622e+08
259,9.58333e-07,5.40522e+08
260,1.02833e-06,5.05673e+08
261,9.72e-07,5.37037e+08
262,9.58e-07,5.46973e+08
263,1.04133e-06,5.05122e+08
264,1.02767e-06,5.13785e+08
265,1.00033e-06,5.29823e+08
266,9.86333e-07,5.39371e+08
267,1.04167e-06,5.1264e+08
268,1.097e-06,4.88605e+08
269,1.028e-06,5.23346e+08
270,2.861e-06,1.88745e+08
271,2.875e-06,1.88522e+08
272,2.93033e-06,1.85644e+08
273,2.91667e-06,1.872e+08
274,2.91667e-06,1.87886e+08
