n,Avg_Time(s),FLOPs
416,1.39291,9.10065e+07
418,1.39392,9.22556e+07
420,1.39416,9.35672e+07
422,1.39407,9.49138e+07
424,1.39451,9.62363e+07
426,1.39328,9.7688e+07
428,1.39369,9.90387e+07
430,1.39462,1.00364e+08
432,1.39369,1.01836e+08
434,1.39213,1.0337e+08
436,1.39389,1.0467e+08
438,1.39508,1.06023e+08
440,1.39364,1.07591e+08
442,1.39312,1.09102e+08
444,1.4073,1.09474e+08
446,1.41623,1.10257e+08
448,1.39461,1.13476e+08
450,1.42712,1.1238e+08
452,1.41006,1.1526e+08
454,1.41262,1.16582e+08
456,1.39235,1.19846e+08
458,1.3932,1.21353e+08
460,1.39358,1.22914e+08
462,1.39244,1.24623e+08
464,1.39323,1.26174e+08
466,1.39492,1.27655e+08
468,1.39328,1.29455e+08
470,1.39415,1.31037e+08
472,1.39486,1.32645e+08
474,1.39396,1.34423e+08
476,1.39354,1.36169e+08
478,1.39293,1.3795e+08
480,1.39363,1.39615e+08
482,1.3928,1.41449e+08
484,1.39581,1.42905e+08
486,1.39463,1.44804e+08
488,1.39385,1.46678e+08
490,1.3923,1.48651e+08
492,1.39497,1.50187e+08
494,1.39321,1.52215e+08
496,1.39513,1.53855e+08
498,1.39375,1.55875e+08
500,1.3947,1.5765e+08
502,1.41608,1.57138e+08
504,1.41907,1.58685e+08
506,1.39576,1.6326e+08
508,1.39385,1.65427e+08
510,1.39285,1.67506e+08
512,1.39423,1.69312e+08
