n,Avg_Time(s),FLOPs
420,7.23023,1.8042e+07
422,7.23137,1.82975e+07
424,7.23519,1.85486e+07
426,7.23596,1.88098e+07
428,7.23295,1.90834e+07
430,7.23373,1.93495e+07
432,7.23521,1.96162e+07
434,7.23207,1.9898e+07
436,7.23083,2.01773e+07
438,7.25871,2.03771e+07
440,7.29467,2.05552e+07
442,7.22431,2.10391e+07
444,7.23208,2.13025e+07
446,7.22748,2.16049e+07
448,7.22405,2.19067e+07
450,7.23454,2.21687e+07
452,7.23732,2.24564e+07
454,7.2354,2.27612e+07
456,7.23629,2.306e+07
458,7.23089,2.33816e+07
460,7.22622,2.3704e+07
462,7.23188,2.39951e+07
464,7.23591,2.4294e+07
466,7.23089,2.4626e+07
468,7.22214,2.49741e+07
470,7.24265,2.52234e+07
472,7.23404,2.55766e+07
474,7.23061,2.59148e+07
476,7.22816,2.62525e+07
478,7.22908,2.65808e+07
480,7.23287,2.69012e+07
482,7.22923,2.7252e+07
484,7.22961,2.75906e+07
486,7.22976,2.79328e+07
488,7.2319,2.82701e+07
490,7.23357,2.86119e+07
492,7.23744,2.89476e+07
494,7.23338,2.93179e+07
496,7.23648,2.96621e+07
498,7.23709,3.00192e+07
500,7.23279,3.03998e+07
502,7.22875,3.07826e+07
504,7.233,3.1133e+07
506,7.23538,3.14941e+07
508,7.23558,3.18676e+07
510,7.23468,3.22488e+07
512,7.23546,3.26255e+07
