n,Avg_Time(s),FLOPs
2,1.55697e-05,2.05528e+06
4,0.000398069,462231
6,5.82637e-05,9.26821e+06
8,5.9986e-05,1.97379e+07
10,0.000166834,1.31868e+07
12,0.00014993,2.44914e+07
14,0.000151875,3.74254e+07
16,0.00015368,5.41384e+07
18,0.000763472,1.52776e+07
20,0.000687389,2.29855e+07
22,0.000616167,3.37766e+07
24,0.000621028,4.31285e+07
26,0.000555708,6.08233e+07
28,0.000550459,7.61983e+07
30,0.000539847,9.50269e+07
32,0.000501514,1.2353e+08
34,0.00375821,1.9686e+07
36,0.00321601,2.72014e+07
38,0.00286364,3.5802e+07
40,0.00270668,4.40392e+07
42,0.00253593,5.4257e+07
44,0.00238168,6.6249e+07
46,0.00227796,7.89567e+07
48,0.00220404,9.25137e+07
50,0.00214128,1.07413e+08
52,0.00222894,1.15854e+08
54,0.00213579,1.35165e+08
56,0.00220412,1.45836e+08
58,0.00223019,1.59889e+08
60,0.00216006,1.82495e+08
62,0.0021979,1.9763e+08
64,0.0021836,2.18531e+08
66,0.0162874,3.20935e+07
68,0.0163443,3.49397e+07
70,0.0162097,3.83906e+07
72,0.0162678,4.1586e+07
74,0.0162695,4.51017e+07
76,0.016214,4.89825e+07
78,0.0162587,5.27622e+07
80,0.0162974,5.67451e+07
82,0.0162561,6.12173e+07
84,0.0163191,6.5505e+07
86,0.0162806,7.04137e+07
88,0.0163803,7.49328e+07
90,0.0163537,8.02389e+07
92,0.0162743,8.60738e+07
94,0.0162942,9.16449e+07
96,0.0163043,9.75054e+07
98,0.016297,1.03719e+08
100,0.0162982,1.10135e+08
102,0.0162948,1.16843e+08
104,0.0163277,1.23544e+08
106,0.0163335,1.30703e+08
108,0.0163165,1.38325e+08
110,0.0164931,1.44527e+08
112,0.0162939,1.54357e+08
114,0.0163383,1.62268e+08
116,0.0163735,1.70527e+08
118,0.0165369,1.77661e+08
120,0.0163794,1.88578e+08
122,0.0163439,1.98528e+08
124,0.0163585,2.08197e+08
126,0.0163917,2.17921e+08
128,0.0165198,2.26622e+08
130,0.117834,3.3274e+07
132,0.117573,3.49003e+07
134,0.117563,3.65038e+07
136,0.117582,3.81458e+07
138,0.117527,3.98617e+07
140,0.117704,4.15467e+07
142,0.11763,4.33691e+07
144,0.117525,4.52566e+07
146,0.11749,4.71715e+07
148,0.117568,4.90927e+07
150,0.117528,5.11156e+07
152,0.117536,5.3172e+07
154,0.117929,5.51025e+07
156,0.117574,5.7438e+07
158,0.117579,5.96608e+07
160,0.11756,6.19533e+07
162,0.117654,6.42418e+07
164,0.117691,6.66165e+07
166,0.117607,6.91201e+07
168,0.117643,7.16139e+07
170,0.117592,7.42209e+07
172,0.11773,7.67684e+07
174,0.117607,7.95469e+07
176,0.117752,8.2207e+07
178,0.117665,8.50901e+07
180,0.117776,8.78937e+07
182,0.118016,9.06573e+07
184,0.117642,9.39627e+07
186,0.117695,9.70026e+07
188,0.117773,1.00084e+08
190,0.117714,1.03349e+08
192,0.117786,1.06568e+08
194,0.117803,1.09902e+08
196,0.117736,1.13386e+08
198,0.117722,1.16891e+08
200,0.11775,1.20425e+08
202,0.117781,1.24026e+08
204,0.117815,1.27693e+08
206,0.118092,1.31162e+08
208,0.118129,1.34961e+08
210,0.118145,1.38856e+08
212,0.117837,1.43219e+08
214,0.117965,1.47135e+08
216,0.11787,1.51403e+08
218,0.117867,1.55635e+08
220,0.11798,1.59788e+08
222,0.118034,1.64093e+08
224,0.117709,1.69016e+08
226,0.118475,1.72445e+08
228,0.117961,1.77818e+08
230,0.117919,1.82585e+08
232,0.122528,1.80324e+08
234,0.117929,1.92226e+08
236,0.118045,1.96985e+08
238,0.118285,2.01608e+08
240,0.117941,2.07317e+08
242,0.118148,2.12153e+08
244,0.118063,2.17594e+08
246,0.118141,2.22822e+08
248,0.1181,2.28361e+08
250,0.118071,2.3397e+08
252,0.118156,2.39437e+08
254,0.118169,2.45138e+08
256,0.118113,2.51074e+08
258,0.839927,3.61379e+07
260,0.842778,3.68569e+07
262,0.839953,3.78381e+07
264,0.840256,3.86944e+07
266,0.84021,3.95798e+07
268,0.840407,4.04669e+07
270,0.840443,4.1375e+07
272,0.840757,4.22825e+07
274,0.84231,4.31394e+07
276,0.842242,4.40916e+07
278,0.839917,4.51788e+07
280,0.840406,4.61311e+07
282,0.840965,4.70923e+07
284,0.840918,4.8101e+07
286,0.840551,4.91427e+07
288,0.84054,5.01785e+07
290,0.840608,5.12239e+07
292,0.840561,5.22908e+07
294,0.841648,5.33005e+07
296,0.841146,5.4425e+07
298,0.841027,5.55403e+07
300,0.841307,5.6644e+07
302,0.840902,5.7809e+07
304,0.839662,5.9049e+07
306,0.842428,6.00211e+07
308,0.841143,6.12958e+07
310,0.840788,6.25207e+07
312,0.84042,6.37632e+07
314,0.840941,6.49537e+07
316,0.840735,6.62155e+07
318,0.841308,6.74314e+07
320,0.841414,6.86996e+07
322,0.840605,7.00596e+07
324,0.840542,7.13751e+07
326,0.84046,7.27087e+07
328,0.840714,7.40291e+07
330,0.841031,7.53597e+07
332,0.840615,7.67726e+07
334,0.840863,7.81418e+07
336,0.840651,7.95703e+07
338,0.84093,8.09692e+07
340,0.840483,8.24552e+07
342,0.840953,8.38682e+07
344,0.84067,8.53733e+07
346,0.840966,8.68367e+07
348,0.840597,8.83864e+07
350,0.841008,8.98713e+07
352,0.840671,9.14536e+07
354,0.842699,9.27938e+07
356,0.840745,9.45909e+07
358,0.841174,9.61413e+07
360,0.84094,9.77849e+07
362,0.841273,9.93804e+07
364,0.841358,1.01023e+08
366,0.840573,1.02789e+08
368,0.841932,1.04311e+08
370,0.841204,1.06108e+08
372,0.841481,1.07799e+08
374,0.841285,1.09568e+08
376,0.840786,1.11398e+08
378,0.841117,1.13136e+08
380,0.841361,1.14904e+08
382,0.841085,1.16762e+08
384,0.841472,1.18547e+08
386,0.841139,1.20453e+08
388,0.841474,1.22282e+08
390,0.846072,1.23503e+08
392,0.845505,1.25493e+08
394,0.841915,1.27963e+08
396,0.841505,1.2998e+08
398,0.841166,1.32009e+08
400,0.841517,1.33949e+08
402,0.842903,1.3574e+08
404,0.84175,1.3796e+08
406,0.841172,1.40111e+08
408,0.840983,1.4222e+08
410,0.840602,1.44383e+08
412,0.841286,1.46382e+08
414,0.844184,1.4801e+08
416,0.841424,1.50654e+08
418,0.840968,1.52915e+08
420,0.841302,1.55055e+08
422,0.841221,1.57291e+08
424,0.841694,1.59444e+08
426,0.841078,1.61824e+08
428,0.841803,1.63968e+08
430,0.842652,1.66106e+08
432,0.848678,1.67234e+08
434,0.84045,1.71223e+08
436,0.841651,1.73348e+08
438,0.843309,1.75394e+08
440,0.841755,1.78132e+08
442,0.840992,1.80731e+08
444,0.841734,1.83029e+08
446,0.840651,1.85748e+08
448,0.843099,1.87706e+08
450,0.841371,1.90617e+08
452,0.841592,1.93115e+08
454,0.841564,1.95691e+08
456,0.841496,1.983e+08
458,0.841238,2.00977e+08
460,0.84227,2.03367e+08
462,0.841521,2.0621e+08
464,0.841951,2.08788e+08
466,0.842332,2.11399e+08
468,0.842063,2.14196e+08
470,0.841797,2.17017e+08
472,0.843344,2.19391e+08
474,0.841612,2.22644e+08
476,0.842626,2.25198e+08
478,0.841549,2.28335e+08
480,0.842188,2.31032e+08
482,0.841947,2.33994e+08
484,0.841538,2.37029e+08
486,0.841959,2.39855e+08
488,0.842821,2.42574e+08
490,0.841685,2.45895e+08
492,0.842311,2.48728e+08
494,0.842395,2.51743e+08
