n,Avg_Time(s),FLOPs
424,21.9396,7.5826e+06
426,21.9701,7.67276e+06
428,21.9822,7.77004e+06
430,21.9717,7.87616e+06
432,21.9616,7.98311e+06
434,22.0002,8.07311e+06
436,21.9865,8.18311e+06
438,21.9898,8.28765e+06
440,21.9562,8.40719e+06
442,21.952,8.51653e+06
444,21.9622,8.62118e+06
446,21.9628,8.73037e+06
448,22.2072,8.74345e+06
450,22.2098,8.85245e+06
452,22.2059,8.96492e+06
454,22.2019,9.07836e+06
456,22.2143,9.18595e+06
458,22.2258,9.29467e+06
460,22.2101,9.41572e+06
462,22.2163,9.52847e+06
464,22.2409,9.63401e+06
466,22.2396,9.75162e+06
468,22.2614,9.85991e+06
470,22.2449,9.98607e+06
472,22.2263,1.01143e+07
474,22.2358,1.02307e+07
476,22.2341,1.03531e+07
478,22.2252,1.04799e+07
480,22.2796,1.05776e+07
482,22.2789,1.07021e+07
484,22.2814,1.0826e+07
486,22.2755,1.0955e+07
488,22.2789,1.10804e+07
490,22.2779,1.12088e+07
492,22.2801,1.13366e+07
494,22.2859,1.14635e+07
496,22.2937,1.15902e+07
498,22.291,1.17233e+07
500,22.2981,1.18521e+07
502,22.3017,1.19838e+07
504,22.3039,1.21171e+07
506,22.3142,1.22469e+07
508,22.3058,1.2388e+07
510,22.3028,1.25271e+07
512,141.726,1.99311e+06
