MatrixSize,RowSwapTime,ColumnSwapTime
16,4.58333e-07,3.89e-07
32,6.80333e-07,6.94667e-07
64,1.26367e-06,1.278e-06
128,2.09733e-06,2.028e-06
256,4.375e-06,3.20833e-06
512,4.486e-06,3.75e-06
1024,2.24027e-05,5.18067e-06
2048,9.2139e-05,1.03333e-05
4096,0.000293917,2.07363e-05
